Essential,Non_Essential
RPL3,MT1B
RPL30,MTNR1B
RPL35,MUC17
RPL35A,MUC7
RPL36,MYBPC3
RPL37A,MYF5
RPL4,NANOGNB
RPL6,NANOS2
RPL8,NCR2
RPLP0,NDST4
RPLP1,NEUROD2
RPLP2,NEUROD4
RPP21,NEUROD6
RPP38,NEUROG1
RPS11,NKX2-1
RPS12,NKX2-2
RPS13,NLRP4
RPS15A,NLRP5
RPS16,NLRP8
RPS18,NLRP9
RPS19,NMS
RPS2,NOBOX
RPS20,NOTO
RPS21,NOX3
RPS23,NPFFR1
RPS3,NPHS2
RPS4X,NPSR1
RPS5,NPVF
RPS6,NR2E1
RPS7,NYX
RPS8,OC90
RRM1,OLIG2
RRP1,OLIG3
RRP12,OPALIN
RRS1,OPN1LW
RTCB,OPN5
RUVBL2,OR10A2
SACM1L,OR10A4
SAE1,OR10A5
SAMM50,OR10H1
SAP18,OR10H2
SARS,OR10H3
SARS2,OR10J1
SART3,OR10R2
SBNO1,OR10S1
SDAD1,OR10X1
SDHC,OR10Z1
SEC13,OR11A1
SEH1L,OR12D2
SF1,OR12D3
SF3A2,OR13C3
SF3A3,OR13D1
SF3B1,OR14A16
SF3B2,OR1A1
SF3B3,OR1A2
SF3B5,OR1B1
SKP1,OR1D2
SLC35B1,OR1E1
SLMO2,OR1E2
SLU7,OR1G1
SMC1A,OR1L6
SMC2,OR1N2
SMC4,OR1S1
SMU1,OR1S2
SNAPC1,OR2AK2
SNAPC2,OR2AT4
SNAPC4,OR2C1
SNRNP200,OR2C3
SNRNP25,OR2D2
SNRNP27,OR2D3
SNRNP35,OR2F1
SNRNP70,OR2G2
SNRPA1,OR2G3
SNRPD1,OR2H1
SNRPD2,OR2J2
SNRPD3,OR2L3
SNRPF,OR2T1
SNW1,OR2T10
SPATA5L1,OR2T12
SPC24,OR2T2
SPC25,OR2T27
SRBD1,OR2T33
SRP19,OR2T4
SRRM1,OR2T5
SRRT,OR2W1
SRSF1,OR3A1
SRSF2,OR3A2
SRSF3,OR3A3
SRSF7,OR4C11
SS18L2,OR4C3
SSU72,OR4D1
SUPT5H,OR4D10
SUPT6H,OR4D11
SUPV3L1,OR4D9
SYMPK,OR4K17
SYS1,OR51B6
TAF1B,OR51D1
TAF6,OR51F2
TANGO6,OR51T1
TARS,OR51V1
TBCD,OR52A1
TBL3,OR52A5
TCP1,OR52B2
TELO2,OR52B6
TFAM,OR52E8
TFRC,OR52I2
THOC2,OR52K2
THOC3,OR52L1
THOC5,OR52M1
TICRR,OR52R1
TIMM10,OR52W1
TIMM13,OR56A1
TIMM23,OR56A4
TIMM44,OR56B1
TMEM258,OR5AU1
TNPO3,OR5C1
TOMM22,OR5I1
TOMM40,OR5M1
TONSL,OR5M10
TOP1,OR5P2
TOP2A,OR5P3
TPT1,OR5R1
TPX2,OR5T1
TRAPPC1,OR5T2
TRAPPC3,OR5T3
TRIAP1,OR5V1
TRMT112,OR5W2
TRMT5,OR6A2
TRNAU1AP,OR6K6
TRRAP,OR6S1
TSR1,OR6V1
TTC1,OR7A17
TTC27,OR7C2
TTI1,OR7D4
TTI2,OR7G2
TUBB,OR8A1
TUBG1,OR8B8
TUBGCP2,OR8G5
TUBGCP3,OR8U1
TUBGCP6,OR9Q2
TUFM,OTOP1
TUT1,OTOP3
TXN,OTOR
TXNL4A,OTP
U2AF1,OTUD6A
U2AF2,OTX2
UBA1,PAGE3
UBA52,PANX3
UBE2L3,PASD1
UBE2M,PAX1
UBE2N,PAX4
UBL5,PBOV1
UBTF,PDCL2
UPF1,PDE6H
UPF2,PDILT
UQCRC1,PDX1
UQCRFS1,PDYN
UROD,PGK2
USP39,PGLYRP2
USP5,PGLYRP3
USPL1,PIWIL1
UTP15,PIWIL3
UTP20,PKD1L3
UTP23,PLA2G2E
UXT,PLA2G2F
VARS,PLA2G4E
VARS2,PLAC1L
VCP,PNLIP
VPS25,PNLIPRP1
VPS28,PNLIPRP2
WARS,PNPLA5
WBSCR22,POM121L12
WDR12,POTEA
WDR25,POTED
WDR3,POTEG
WDR33,POTEH
WDR43,POU3F4
WDR61,POU4F2
WDR70,POU4F3
WDR74,POU5F2
WDR75,PPP3R2
WDR77,PRAMEF1
WDR92,PRAMEF19
WEE1,PRAMEF2
XAB2,PRAMEF3
XPO1,PRAMEF4
XRCC6,PRAMEF7
YARS,PRB1
YARS2,PRB4
YRDC,PRDM13
ZBTB8OS,PRDM14
ZMAT5,PRDM7
ZNF131,PRDM9
ZNF259,PRG3
ZNF574,PRLH
,PRLHR
,PROP1
,PRSS33
,PRSS37
,PRSS38
,PRSS41
,PRSS55
,PRSS58
,PRY2
,PSKH2
,PTF1A
,RAX
,RAX2
,RBM46
,RBMXL2
,RBMY1A1
,RBMY1B
,RBMY1D
,RBMY1E
,RBMY1F
,RBMY1J
,RBP3
,RBPJL
,RD3
,RDH8
,REG3A
,RESP18
,RETNLB
,REXO1L1
,RFPL3
,RFPL4B
,RFX6
,RHO
,RHOXF2
,RNASE10
,RNASE11
,RNASE12
,RNASE13
,RNASE8
,RNASE9
,RND2
,RNF113B
,RNF17
,RP1
,RP1L1
,RPE65
,RPTN
,RS1
,RTP1
,RTP2
,RXFP2
,RXFP3
,S100A7A
,S100G
,SAGE1
,SAMD7
,SCGB1D1
,SCN10A
,SCRT2
,SDR9C7
,SEC14L3
,SEMG2
,14-sep
,SERPINA12
,SERPINA7
,SERPINA9
,SERPINB12
,SHCBP1L
,SHOX
,SI
,SIGLECL1
,SIX6
,SLC10A2
,SLC13A1
,SLC17A2
,SLC17A6
,SLC18A3
,SLC22A12
,SLC22A13
,SLC22A24
,SLC22A25
,SLC22A6
,SLC22A8
,SLC22A9
,SLC25A2
,SLC25A31
,SLC2A2
,SLC2A7
,SLC32A1
,SLC34A1
,SLC36A3
,SLC39A12
,SLC6A18
,SLC6A5
,SLC6A7
,SLC7A13
,SLCO1B1
,SLCO6A1
,SLITRK1
,SOHLH1
,SOX1
,SOX14
,SP8
,SPACA1
,SPACA5
,SPACA7
,SPATA16
,SPATA21
,SPEM1
,SPHAR
,SPINK14
,SPO11
,SPPL2C
,SPRR4
,SSTR4
,SSX3
,SSX5
,SSX7
,SSX8
,SSX9
,STATH
,SULT6B1
,SUN5
,T
,TAAR1
,TAAR2
,TAAR5
,TAAR6
,TAAR8
,TAAR9
,TAS1R2
,TAS2R1
,TAS2R13
,TAS2R16
,TAS2R39
,TAS2R40
,TAS2R41
,TAS2R42
,TAS2R43
,TAS2R46
,TAS2R50
,TAS2R60
,TAS2R7
,TAS2R8
,TAS2R9
,TBC1D21
,TBC1D29
,TBL1Y
,TBPL2
,TBR1
,TBX10
,TCEB3B
,TCEB3C
,TCHHL1
,TCP10L2
,TEDDM1
,TEX101
,TEX13A
,TEX28
,TEX34
,TFAP2D
,TFDP3
,TGIF2LX
,TGIF2LY
,TGM6
,TKTL2
,TLX1
,TMEM132D
,TMEM174
,TMEM207
,TMEM225
,TMIGD1
,TMPRSS11A
,TMPRSS11B
,TMPRSS11F
,TMPRSS12
,TMPRSS15
,TNR
,TPD52L3
,TPH2
,TPRX1
,TPTE
,TREML4
,TRHR
,TRIM40
,TRIM42
,TRIM43
,TRIM48
,TRIM49
,TRIM51
,TRIM60
,TRIM67
,TRIML1
,TRPC5
,TRPC7
,TRPM1
