goodGeneSymbol,wrongGeneSymbol
H2BC5,HIST1H2BD
SANBR,KIAA1841
CFAP96,C4orf47
H4C15,HIST2H4B
ARMH3,C10orf76
LINC03103,THEG5
SNORC,C2orf82
CIAO2A,FAM96A
SHTN1,KIAA1598
EZHIP,CXorf67
JHY,C11orf63
CRPPA,ISPD
PHETA1,FAM109A
TENT4A,PAPD7
CASTOR3P,GATS
SEPTIN5,SEPT5
CARMIL2,RLTPR
MTNAP1,C17orf80
UQCC6,C12orf73
NOP53,GLTSCR2
STPG4,C2orf61
ATP5MF,ATP5J2
ZNG1A,CBWD1
MAP3K21,KIAA1804
H2AC20,HIST2H2AC
GPR15LG,C10orf99
STIMATE-MUSTN1,TMEM110-MUSTN1
H1-1,HIST1H1A
SEPTIN4,SEPT4
H1-7,H1FNT
SHLD2,FAM35A
MMUT,MUT
ILRUN,C6orf106
KHDC4,KIAA0907
LINC02906,C8orf87
SLC66A3,PQLC3
SEPTIN10,SEPT10
GPAT3,AGPAT9
MAGEA5P,MAGEA5
H1-0,H1F0
GARIN4,FAM71A
PEX39,C6orf226
NTMT2,METTL11B
FYB2,C1orf168
MCRIP2,FAM195A
RADX,CXorf57
TMEM121B,CECR6
ANGPTL8,C19orf80
DENND2B,ST5
PABIR1,FAM122A
YARS1,YARS
TEX56P,C6orf201
H2AX,H2AFX
BPNT2,IMPAD1
PATJ,INADL
SELENOK,SELK
PRR23E,C3orf56
SPMIP10,TEX43
ALPG,ALPPL2
H2AZ2,H2AFV
VNN3P,VNN3
PRSS46P,PRSS46
PJVK,DFNB59
GPRASP3,BHLHB9
AFDN,MLLT4
PGAP6,TMEM8A
TAFA5,FAM19A5
SNU13,NHP2L1
LY6S-AS1,C8orf31
SGO2,SGOL2
ARHGAP45,HMHA1
BABAM2,BRE
DYNLT4,TCTEX1D4
H3C7,HIST1H3F
ATP5PB,ATP5F1
FAM174C,C19orf24
LINC03042,C8orf86
CFAP100,CCDC37
CENPS-CORT,APITD1-CORT
ADGRF2P,ADGRF2
HIKESHI,C11orf73
PRXL2C,AAED1
TCP10L3,TCP10
SPATA31G1,C9orf131
FCSK,FUK
FHIP2B,FAM160B2
SNHG28,C1orf204
PEDS1-UBE2V1,TMEM189-UBE2V1
TMEM250,C9orf69
DYNLT2B,TCTEX1D2
H3-3A,H3F3A
ALKAL1,FAM150A
SPRING1,C12orf49
MARF1,KIAA0430
INTS15,C7orf26
WHRN,DFNB31
TERB2,C15orf43
CHLSN,C7orf50
ANKRD20A2P,ANKRD20A2
DNAAF6,PIH1D3
H2AP,HYPM
CCN2,CTGF
H2BC6,HIST1H2BE
METTL25B,RRNAD1
H2BC13,HIST1H2BL
POGLUT3,KDELC2
REX1BD,C19orf60
NHERF1,SLC9A3R1
CLECL1P,CLECL1
HPF1,C4orf27
ERG28,C14orf1
COA8,APOPT1
ABHD18,C4orf29
RTL4,ZCCHC16
ODAD2,ARMC4
CFAP157,C9orf117
CIP2A,KIAA1524
MTRES1,C6orf203
UPK3BL1,UPK3BL
KYAT1,CCBL1
IFT56,TTC26
SELENOM,SELM
SKIC8,WDR61
GARS1,GARS
LORICRIN,LOR
UQCC4,C16orf91
TENT4B,PAPD5
STMP1,C7orf73
NECTIN1,PVRL1
MARCHF10,MARCH10
ENTREP3,FAM189B
H2AC19,HIST2H2AA4
UTP4,CIRH1A
BUD23,WBSCR22
H4C1,HIST1H4A
NHSL3,KIAA1522
XAGE1B,XAGE1E
MARS1,MARS
CSTPP1,C11orf49
PAK6-AS1,C15orf56
DARS1,DARS
LINC02914,C14orf177
CERT1,COL4A3BP
MYMK,TMEM8C
CALHM6,FAM26F
LINC02875,C17orf82
TLCD3B,FAM57B
BLTP1,KIAA1109
MCRIP1,FAM195B
HAPSTR1,C16orf72
SMIM29,C6orf1
PRELID3B,SLMO2
PEDS1,TMEM189
SEPTIN1,SEPT1
CPLANE2,RSG1
CARS1,CARS
TEX55,C3orf30
DOCK8-AS1,C9orf66
H2AC12,HIST1H2AH
DMAC2,ATP5SL
PLPBP,PROSC
LINC02870,C10orf91
MARCHF7,MARCH7
NRDC,NRD1
FSAF1,C1orf131
CRIPTO,TDGF1
ENTREP2,FAM189A1
NECTIN4,PVRL4
NPY4R2,CH17-360D5.1
ZFTA,C11orf95
FHIP1A,FAM160A1
CFAP210,CCDC173
AFG1L,LACE1
H3C14,HIST2H3C
H4C2,HIST1H4B
CBY2,SPERT
H2AC14,HIST1H2AJ
SHISAL2B,FAM159B
MAIP1,C2orf47
CFAP20DC,C3orf67
H4C7,HIST1H4G
ZSWIM9,C19orf68
CFAP298,C21orf59
TCIM,C8orf4
FAM241A,C4orf32
TRARG1,TUSC5
ODAD3,CCDC151
BORCS5,LOH12CR1
SPOUT1,C9orf114
SLF2,FAM178A
ACP4,ACPT
MIR9-1HG,C1orf61
IHO1,CCDC36
TMEM132E-DT,C17orf102
MRNIP,C5orf45
H4C11,HIST1H4J
EEF1AKMT1,N6AMT2
H3C4,HIST1H3D
MIX23,CCDC58
NEPRO,C3orf17
RTL8A,FAM127B
SLC19A4P,C2orf83
RIPOR1,FAM65A
FAM200C,ZBED8
H2BC21,HIST2H2BE
GUCY1A1,GUCY1A3
PLPPR3,LPPR3
H4C14,HIST2H4A
IARS1,IARS
KIFBP,KIF1BP
CFAP300,C11orf70
CIMAP3,PIFO
SPMIP9,TEX37
GRAMD2A,GRAMD2
NIBAN3,FAM129C
ATP5MC1,ATP5G1
JAML,AMICA1
FERRY3,C12orf4
PWWP3A,MUM1
H4C6,HIST1H4F
TESMIN,MTL5
CRACDL,KIAA1211L
LINC02908,C9orf139
BCLAF3,CXorf23
ABITRAM,FAM206A
MINDY3,FAM188A
CFAP95,C9orf135
AKAIN1,C18orf42
MYG1,C12orf10
H3C12,HIST1H3J
RPP38-DT,C10orf111
KASH5,CCDC155
PAXX,C9orf142
CDRT15P3,C2orf27B
H2BC15,HIST1H2BN
SNHG32,C6orf48
KMT5B,SUV420H1
MRE11,MRE11A
RAB5IF,C20orf24
PLPPR1,LPPR1
FAAP100,C17orf70
SAXO4,PPP1R32
ATP5F1B,ATP5B
ODR4,C1orf27
ZFTRAF1,CYHR1
CCDC190,C1orf110
ARHGAP42,TMEM133
ETFRF1,LYRM5
CGAS,MB21D1
MIR3667HG,C22orf34
GATD3,C21orf33
CFAP276,C1orf194
ALKAL2,FAM150B
NDUFAF8,C17orf89
TAFA4,FAM19A4
BICDL2,CCDC64B
GASK1B,FAM198B
ANKRD20A4P,ANKRD20A4
MARCHF4,MARCH4
SELENOW,SEPW1
MFSD14B,HIATL1
NOTCH2NLA,NOTCH2NL
ABRAXAS1,FAM175A
CYBC1,C17orf62
ELAPOR1,KIAA1324
PEAK3,C19orf35
RARS1,RARS
FHIP1B,FAM160A2
SELENOO,SELO
PHB1,PHB
H4C16,HIST4H4
SPMAP2L,THEGL
PUM3,KIAA0020
HDGFL3,HDGFRP3
EPRS1,EPRS
COP1,RFWD2
IRAG1,MRVI1
BTNL10P,BTNL10
GAREM1,GAREM
PRAG1,SGK223
SKIC3,TTC37
CCNP,CNTD2
BICDL1,CCDC64
QARS1,QARS
MTRFR,C12orf65
DIPK2A,C3orf58
ARPIN-AP3S2,C15orf38-AP3S2
H2BC11,HIST1H2BJ
BACC1,C17orf49
MTARC1,MARC1
AARS1,AARS
ACP3,ACPP
MAPDA,ADAL
COQ8B,ADCK4
GRK2,ADRBK1
GRK3,ADRBK2
ADSS2,ADSS
ADSS1,ADSSL1
GPAT4,AGPAT6
AHSA2P,AHSA2
CRYBG2,AIM1L
ALG1L1P,ALG1L
C2CD6,ALS2CR11
ANP32CP,ANP32C
CENPS,APITD1
NAXE,APOA1BP
BMAL1,ARNTL
BMAL2,ARNTL2
ARSL,ARSE
GET3,ASNA1
INTS13,ASUN
PGGHG,ATHL1
ATP5F1C,ATP5C1
ATP5F1E,ATP5E
ATP5MC3,ATP5G3
ATP5PD,ATP5H
ATP5ME,ATP5I
ATP5PF,ATP5J
ATP5MGL,ATP5L2
ATP5PO,ATP5O
DMAC2L,ATP5S
B3GLCT,B3GALTL
ABTB3,BTBD11
POPDC1,BVES
TSPOAP1,BZRAP1
DEPP1,C10orf10
NEBL,C10orf113
LCOR,C10orf12
TMEM273,C10orf128
CC2D2B,C10orf131
LINC02881,C10orf142
TWNK,C10orf2
ZNF22-AS1,C10orf25
BORCS7,C10orf32
VSIR,C10orf54
SPMIP5,C10orf82
CFAP68,C11orf1
EMSY,C11orf30
SELENOH,C11orf31
LINC02873,C11orf44
KCNJ5-AS1,C11orf45
POU2AF2,C11orf53
NKAPD1,C11orf57
SPINDOC,C11orf84
MAJIN,C11orf85
HOATZ,C11orf88
FREY1,C11orf94
RLIG1,C12orf29
REDIC1,C12orf40
KICS2,C12orf66
PLEKHG7,C12orf74
LINC02909,C12orf77
LINC02874,C12orf80
CCDC198,C14orf105
GON7,C14orf142
DGLUCY,C14orf159
RTRAF,C14orf166
RIOX1,C14orf169
SLIRP-OT1,C14orf178
ATP5MJ,C14orf2
CLBA1,C14orf79
TEDC1,C14orf80
CCDC9B,C15orf52
LINC02694,C15orf53
LINC02915,C15orf54
CCDC32,C15orf57
INSYN1,C15orf59
PIERCE2,C15orf65
RUSF1,C16orf58
TEDC2,C16orf59
PHAF1,C16orf70
CFAP119,C16orf93
LINC02911,C16orf97
MEIOC,C17orf104
CFAP97D1,C17orf105
LINC02089,C17orf112
HROB,C17orf53
BORCS6,C17orf59
CHCT1,C17orf64
SPEM2,C17orf74
CD300LD-AS1,C17orf77
NCBP3,C17orf85
LIAT1,C17orf97
SPMAP1,C17orf98
ZNF516-DT,C18orf65
RMC1,C18orf8
CBARP,C19orf26
FAAP24,C19orf40
TRIR,C19orf43
ACTMAP,C19orf54
BRME1,C19orf57
MICOS13,C19orf70
TEKTIP1,C19orf71
INAVA,C1orf106
FIRRM,C1orf112
LINC02868,C1orf137
RHEX,C1orf186
CFAP141,C1orf189
TMEM51-AS2,C1orf195
ARMH1,C1orf228
TEX46,C1orf234
SRARP,C1orf64
KPLCE,C1orf68
STUM,C1orf95
DNAAF9,C20orf194
FNDC11,C20orf195
MIR646HG,C20orf197
LINC01620,C20orf62
CIMIP1,C20orf85
CFAP410,C21orf2
EPCIP,C21orf62
YWHAH-AS1,C22orf24
RTL10,C22orf29
SPATA31H1,C2orf16
WDCP,C2orf44
RRM2,C2orf48
MAB21L4,C2orf54
TEX44,C2orf57
CIMIP2C,C2orf70
PCARE,C2orf71
LINC02898,C2orf91
CEP15,C3orf14
APRG1,C3orf35
CIMIP7,C3orf84
CFAP299,C4orf22
SPMIP2,C4orf45
NICOL1,C4orf48
TMEM267,C5orf28
MACIR,C5orf30
IRX2-DT,C5orf38
CPLANE1,C5orf42
RIMOC1,C5orf51
LINC03122,C5orf64
TSBP1,C6orf10
BNIP5,C6orf222
MPIG6B,C6orf25
LINC01621,C6orf7
SPMIP4,C7orf31
LLCFC1,C7orf34
CYREN,C7orf49
FMC1,C7orf55
FMC1-LUC7L2,C7orf55-LUC7L2
SAMTOR,C7orf60
TEX47,C7orf62
LINC02902,C7orf65
LINC02903,C7orf66
PKD1L1-AS1,C7orf69
LINC02860,C7orf71
SPMIP7,C7orf72
LINC03043,C7orf77
CFAP418,C8orf37
VXN,C8orf46
RBIS,C8orf59
FAM120A2P,C9orf129
TRMO,C9orf156
LINC02872,C9orf170
CFAP77,C9orf171
SPMIP6,C9orf24
AOPEP,C9orf3
LINC02907,C9orf62
QNG1,C9orf64
SHOC1,C9orf84
CARD19,C9orf89
TMEM268,C9orf91
LINC03041,C9orf92
CARD17P,CARD17
NAXD,CARKD
DNAI7,CASC1
MIR1915HG,CASC10
GOLM2,CASC4
KNL1,CASC5
ZNG1E,CBWD5
ZNG1F,CBWD6
SGF29,CCDC101
DNAAF19,CCDC103
TEKTL1,CCDC105
CFAP65,CCDC108
MCUB,CCDC109B
CFAP263,CCDC113
ODAD1,CCDC114
ITPRID1,CCDC129
YJU2B,CCDC130
VPS50,CCDC132
DRC12,CCDC153
BBOF1,CCDC176
SVBP,CCDC23
CFAP73,CCDC42B
WASHC3,CCDC53
DEUP1,CCDC67
TERB1,CCDC79
YJU2,CCDC94
CFAP184,CCDC96
POLR1G,CD3EAP
FBXW10B,CDRT1
ADA2,CECR1
HDHD5,CECR5
CLLU1-AS1,CLLU1OS
POU2AF3,COLCA2
CRAMP1,CRAMP1L
KAT14,CSRP2BP
MIA2,CTAGE5
TASL,CXorf21
EOLA1,CXorf40A
STEEP1,CXorf56
CCN1,CYR61
DCDC1,DCDC5
INTS6L,DDX26B
RIGI,DDX58
DELEC1,DEC1
DEFB130A,DEFB130
DEFB131A,DEFB131
GSDME,DFNA5
DHFR2,DHFRL1
UTP25,DIEXF
SLC49A4,DIRC2
DOP1A,DOPEY1
DOP1B,DOPEY2
MUCL3,DPCR1
DUSP13B,DUSP13
STYXL2,DUSP27
EFL1,EFTUD1
ERBIN,ERBB2IP
ERO1A,ERO1L
ERO1B,ERO1LB
FCMR,FAIM3
RFLNA,FAM101A
EEIG2,FAM102B
VCF1,FAM104A
OTULINL,FAM105A
PHETA2,FAM109B
PABIR2,FAM122B
HYCC1,FAM126A
HYCC2,FAM126B
RTL8B,FAM127C
NIBAN1,FAM129A
NIBAN2,FAM129B
C1QTNF12,FAM132A
ERFE,FAM132B
RETREG2,FAM134A
RETREG1,FAM134B
RETREG3,FAM134C
NALF1,FAM155A
NALF2,FAM155B
SHISAL2A,FAM159A
FHIP2A,FAM160B1
CIMIP2A,FAM166A
FAM169BP,FAM169B
ARB2A,FAM172A
ANTKMT,FAM173A
ATPSCKMT,FAM173B
TOGARAM2,FAM179A
TOGARAM1,FAM179B
INSYN2B,FAM196B
GASK1A,FAM198A
TAFA3,FAM19A3
SPATA31F1,FAM205A
SLX9,FAM207A
TASOR,FAM208A
TASOR2,FAM208B
INKA1,FAM212A
INKA2,FAM212B
PRXL2B,FAM213B
ATOSA,FAM214A
ATOSB,FAM214B
WASHC2A,FAM21A
WASHC2C,FAM21C
TENT5B,FAM46B
TENT5C,FAM46C
TENT5D,FAM46D
CYRIA,FAM49A
CYRIB,FAM49B
TLCD3A,FAM57A
CCNQ,FAM58A
SINHCAF,FAM60A
MINDY1,FAM63A
PIMREG,FAM64A
RIPOR2,FAM65B
RIPOR3,FAM65C
DIPK1A,FAM69A
DIPK1B,FAM69B
GARIN3,FAM71B
GARIN6,FAM71C
GARIN2,FAM71D
GARIN5A,FAM71E1
GARIN1A,FAM71F2
MIGA1,FAM73A
MIGA2,FAM73B
LRATD1,FAM84A
FAM86C1P,FAM86C1
CIBAR1,FAM92A1
CIBAR2,FAM92B
FBXL21P,FBXL21
FCGR1BP,FCGR1B
FDX2,FDX1L
VEGFD,FIGF
CEP20,FOPNL
FTHL18P,FTH1P18
MRM2,FTSJ2
FYB1,FYB
GAREM2,GAREML
CASTOR1,GATSL3
NIPSNAP2,GBAS
CBLIF,GIF
BICRA,GLTSCR1
BICRAL,GLTSCR1L
GRAMD2B,GRAMD3
TAMALIN,GRASP
HASPIN,GSG2
GUCY1B1,GUCY1B3
LARGE2,GYLTL1B
H1-8,H1FOO
H1-10,H1FX
H2AB1,H2AFB1
H2AB2,H2AFB2
H2AB3,H2AFB3
H2AJ,H2AFJ
MACROH2A1,H2AFY
MACROH2A2,H2AFY2
H2AZ1,H2AFZ
H2BW2,H2BFM
PUDP,HDHD1
HEXD,HEXDC
ANKRD13C-DT,HHLA3
MFSD14A,HIAT1
H1-5,HIST1H1B
H1-2,HIST1H1C
H1-3,HIST1H1D
H1-6,HIST1H1T
H2AC1,HIST1H2AA
H2AC4,HIST1H2AB
H2AC6,HIST1H2AC
H2AC8,HIST1H2AE
H2AC13,HIST1H2AI
H2AC16,HIST1H2AL
H2BC3,HIST1H2BB
H2BC4,HIST1H2BC
H2BC8,HIST1H2BG
H2BC9,HIST1H2BH
H2BC10,HIST1H2BI
H2BC12,HIST1H2BK
H2BC14,HIST1H2BM
H2BC17,HIST1H2BO
H3C3,HIST1H3C
H3C8,HIST1H3G
H3C10,HIST1H3H
H3C11,HIST1H3I
H4C4,HIST1H4D
H4C5,HIST1H4E
H4C8,HIST1H4H
H4C13,HIST1H4L
H2AC18,HIST2H2AA3
H2AC21,HIST2H2AB
H3C13,HIST2H3D
H2AC25,HIST3H2A
H3-4,HIST3H3
NSG2,HMP19
JPT1,HN1
JPT2,HN1L
PLAAT2,HRASLS2
PLAAT5,HRASLS5
RIDA,HRSP12
IFT25,HSPB11
MRPL58,ICT1
ELP1,IKBKAP
ACOD1,IRG1
FAM234A,ITFG3
KARS1,KARS
TMEM94,KIAA0195
RUBCNL,KIAA0226L
GARRE1,KIAA0355
ECPAS,KIAA0368
PRORP,KIAA0391
KATNIP,KIAA0556
MACF1,KIAA0754
MATCAP2,KIAA0895
TMEM131L,KIAA0922
MINAR1,KIAA1024
MINAR2,KIAA1024L
WASHC4,KIAA1033
PHF24,KIAA1045
BTBD8,KIAA1107
DENND11,KIAA1147
MYORG,KIAA1161
CRACD,KIAA1211
CFAP92,KIAA1257
ELAPOR2,KIAA1324L
CCDC191,KIAA1407
VIRMA,KIAA1429
TRMT9B,KIAA1456
RELCH,KIAA1468
RESF1,KIAA1551
SHISAL1,KIAA1644
IQCN,KIAA1683
LNPK,KIAA1715
MFSD4B,KIAA1919
NEXMIF,KIAA2022
BRD10,KIAA2026
LARGE1,LARGE
LARS1,LARS
RTL6,LDOC1L
LHFPL6,LHFP
PELATON,LINC01272
LINS1,LINS
PLPPR2,LPPR2
PLPPR4,LPPR4
IRAG2,LRMP
CARMIL1,LRRC16A
CARMIL3,LRRC16B
DRC3,LRRC48
DNAAF11,LRRC6
MARCHF1,MARCH1
MARCHF11,MARCH11
MARCHF2,MARCH2
MARCHF3,MARCH3
MARCHF6,MARCH6
MARCHF8,MARCH8
BORCS8,MEF2BNB
BORCS8-MEF2B,MEF2BNB-MEF2B
TLNRD1,MESDC1
EEF1AKMT2,METTL10
ETFBKMT,METTL20
EEF1AKMT3,METTL21B
TMT1B,METTL7B
MELTF,MFI2
MFSD4A,MFSD4
SLC49A3,MFSD7
CCDC187,MGC50722
OGA,MGEA5
MICAL2,MICALCL
RIOX2,MINA
MICOS10-NBL1,MINOS1-NBL1
MRTFB,MKL2
PALS1,MPP5
KGD4,MRPS36
MTSS2,MTSS1L
PWWP3B,MUM1L1
CAVIN4,MURC
COPS9,MYEOV2
MYL11,MYLPF
RAB34,NARR
NAA80,NAT6
NSMCE3,NDNL2
CCN3,NOV
NUP58,NUPL1
NUP42,NUPL2
NUPR2,NUPR1L
STN1,OBFC1
CIMAP1A,ODF3
OR8U3,OR5R1
LTO1,ORAOV1
TENT2,PAPD4
ACP7,PAPL
PRKN,PARK2
PCNX2,PCNXL2
GATD1,PDDC1
NHERF4,PDZD3
PNMA8A,PNMAL1
PNMA8B,PNMAL2
PLPP1,PPAP2A
PLPP2,PPAP2C
PLPP4,PPAPDC1A
PLPP5,PPAPDC1B
PLPP6,PPAPDC2
PLPP7,PPAPDC3
PTPA,PPP2R4
PPP5D1P,PPP5D1
SLC66A2,PQLC1
SLC66A1,PQLC2
SLC66A1LP,PQLC2L
THAP12,PRKRIR
OPRPN,PROL1
PRSS42P,PRSS42
DISP3,PTCHD2
CAVIN1,PTRF
NECTIN3,PVRL3
PYCR3,PYCRL
QTRT2,QTRTD1
PLAAT4,RARRES3
RTL9,RGAG1
RTL5,RGAG4
ARK2C,RNF165
OBI1,RNF219
CNOT9,RQCD1
RTF2,RTFDC1
SARS1,SARS
ENTR1,SDCCAG3
SELENOT,SELT
SELENOV,SELV
SELENON,SEPN1
SELENOP,SEPP1
SEPTIN12,SEPT12
SEPTIN14,SEPT14
SEPTIN2,SEPT2
SEPTIN7,SEPT7
SEPTIN9,SEPT9
RSKR,SGK494
SEM1,SHFM1
SKIC2,SKIV2L
MTREX,SKIV2L2
SLC35E2A,SLC35E2
NHERF2,SLC9A3R2
PRELID3A,SLMO1
UQCC5,SMIM4
ERLN,SMIM6
MTCL2,SOGA1
MTCL3,SOGA3
AFG2A,SPATA5
SPART,SPG20
SSPOP,SSPO
ZNRD2,SSSCA1
KMT5C,SUV420H2
TARS1,TARS
TARS3,TARSL2
TAFAZZIN,TAZ
TBC1D29P,TBC1D29
ELOA,TCEB3
ELOA3DP,TCEB3CL2
DYNLT2,TCTE3
DYNLT5,TCTEX1D1
SPMIP8,TEPP
CATSPERZ,TEX40
TGIF2-RAB5IF,TGIF2-C20orf24
SPMAP2,THEG
MYO18A,TIAF1
MEAK7,TLDC1
STIMATE,TMEM110
TMEM14EP,TMEM14E
LDAF1,TMEM159
STING1,TMEM173
MFSD13A,TMEM180
TMEM183BP,TMEM183B
NEMP1,TMEM194A
CEMIP2,TMEM2
PGAP4,TMEM246
LYSET,TMEM251
SLITRK2,TMEM257
DMAC1,TMEM261
CLTRN,TMEM27
TMEM35A,TMEM35
RXYLT1,TMEM5
PIP4P2,TMEM55A
TLCD4,TMEM56
TLCD4-RWDD3,TMEM56-RWDD3
MACO1,TMEM57
KRT10-AS1,TMEM99
TOMM70,TOMM70A
EIPR1,TSSC1
GFUS,TSTA3
IFT70A,TTC30A
IFT70B,TTC30B
UBE2Q2P16,UBE2Q2L
BLTP3A,UHRF1BP1
BLTP3B,UHRF1BP1L
ATP5MK,USMG5
UTP11,UTP11L
VARS1,VARS
